Код;Ссылка;ЭтоГруппа;Родитель
AM18162;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника);Да;
AM18244;01. Чехлы, сумки и аксессуары к цифровой технике;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM18264;01. Чехлы и сумки для мобильных устройств;Да;01. Чехлы, сумки и аксессуары к цифровой технике
AM18225;Сумка, рюкзак для фото/видео камеры;Нет;01. Чехлы и сумки для мобильных устройств
AM27379;Чехол - аккумулятор;Нет;01. Чехлы и сумки для мобильных устройств
AM18259;Чехол для GSM;Нет;01. Чехлы и сумки для мобильных устройств
AM18300;Чехол для планшета;Нет;01. Чехлы и сумки для мобильных устройств
AM18223;Чехол для фото/видео камеры;Нет;01. Чехлы и сумки для мобильных устройств
AM18258;Чехол для электронных книг;Нет;01. Чехлы и сумки для мобильных устройств
AM18336;02. Батарейки, кабели и прочие аксессуары к цифровой технике;Да;01. Чехлы, сумки и аксессуары к цифровой технике
AM18337;USB хаб;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18216;Аксессуар для HDD;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18375;Батарейка/Аккумулятор;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18376;Зарядное устройство для аккумуляторов AA/AAA;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18363;Кабель;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18364;Коммутационное оборудование;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18369;Магнитный/оптический носитель;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18388;Память USB Flash;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18395;Сетевой фильтр;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
AM18379;Чистящее средство;Нет;02. Батарейки, кабели и прочие аксессуары к цифровой технике
EM05756;02. Стекла, пленки и аксессуары для моб устройств;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM18242;01. Аксессуары для мобильных устройств;Да;02. Стекла, пленки и аксессуары для моб устройств
AM30128;OTG аксессуары;Нет;01. Аксессуары для мобильных устройств
AM20879;Аккумулятор для мобильных устройств;Нет;01. Аксессуары для мобильных устройств
AM18304;Аксессуары прочее;Нет;01. Аксессуары для мобильных устройств
AM18308;Держатели для мобильных устройств;Нет;01. Аксессуары для мобильных устройств
AM27380;Предметы для Селфи;Нет;01. Аксессуары для мобильных устройств
AM27042;02. Стекла и пленки;Да;02. Стекла, пленки и аксессуары для моб устройств
AM30129;Защитное стекло для смартфонов;Нет;02. Стекла и пленки
AM20887;Пленка защитная для планшетов;Нет;02. Стекла и пленки
AM20877;Пленка защитная для смартфонов;Нет;02. Стекла и пленки
EM09368;Списанное стекло и пленка;Нет;02. Стекла и пленки
EM05851;03. Карты памяти;Да;02. Стекла, пленки и аксессуары для моб устройств
AM18359;Кард - ридер;Нет;03. Карты памяти
AM18243;Карта памяти (Flash);Нет;03. Карты памяти
EM05852;04. Устройства для зарядки;Да;02. Стекла, пленки и аксессуары для моб устройств
AM18307;Зарядные и док станции для мобильных устройств;Нет;04. Устройства для зарядки
AM30127;Кабель для мобильных устройств;Нет;04. Устройства для зарядки
AM20878;Портативный аккумулятор;Нет;04. Устройства для зарядки
AM31753;03. Операторские комплекты и подарочные карты;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
EM06049;Подарочные карты;Да;03. Операторские комплекты и подарочные карты
AM18253;Подарочная карта;Нет;Подарочные карты
EM06050;Сим-карты и Оборудование;Да;03. Операторские комплекты и подарочные карты
AM26309;Сим-карты, Data-комплекты (сим-карта + 3/4G модем);Нет;Сим-карты и Оборудование
EM06051;Страховые продукты;Да;03. Операторские комплекты и подарочные карты
EM03673;Страховой продукт;Нет;Страховые продукты
AM19032;04. Манипуляторы и аксессуары для ноутбука;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM18396;01. Манипуляторы и вебкамеры;Да;04. Манипуляторы и аксессуары для ноутбука
AM30126;Bluetooth клавиатура и мышь;Нет;01. Манипуляторы и вебкамеры
AM18424;Аксессуар для манипуляторов;Нет;01. Манипуляторы и вебкамеры
AM18397;Веб-камера;Нет;01. Манипуляторы и вебкамеры
AM18399;Графический планшет;Нет;01. Манипуляторы и вебкамеры
EM10194;Клавиатура игровая;Нет;01. Манипуляторы и вебкамеры
AM18402;Клавиатура офисная;Нет;01. Манипуляторы и вебкамеры
EM10196;Коврик игровой;Нет;01. Манипуляторы и вебкамеры
AM18404;Коврик офисный;Нет;01. Манипуляторы и вебкамеры
EM10192;Мышь игровая;Нет;01. Манипуляторы и вебкамеры
AM18405;Мышь офисная;Нет;01. Манипуляторы и вебкамеры
AM18207;02. Аксессуары для ноутбуков;Да;04. Манипуляторы и аксессуары для ноутбука
AM18206;Адаптер для ноутбука;Нет;02. Аксессуары для ноутбуков
AM18202;Охлаждение для ноутбука;Нет;02. Аксессуары для ноутбуков
AM18200;Сумки, рюкзаки, чехлы для ноутбуков;Нет;02. Аксессуары для ноутбуков
AM19969;05. Аудио;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM20020;01. Наушники;Да;05. Аудио
AM18260;Моногарнитура (Bluetooth);Нет;01. Наушники
AM18535;Наушники вкладыши;Нет;01. Наушники
EM00289;Наушники игровые;Нет;01. Наушники
AM18324;Наушники накладные;Нет;01. Наушники
EM03352;Стереогарнитура (Bluetooth);Нет;01. Наушники
EM05762;02. Колонки и портативные аудиосистемы;Да;05. Аудио
AM18548;Колонки 2.0;Нет;02. Колонки и портативные аудиосистемы
AM18550;Колонки 2.1;Нет;02. Колонки и портативные аудиосистемы
AM18551;Колонки 5.1;Нет;02. Колонки и портативные аудиосистемы
AM18552;Колонки портативные;Нет;02. Колонки и портативные аудиосистемы
AM19556;Портативная аудиосистема;Нет;02. Колонки и портативные аудиосистемы
AM20764;Радиобудильник;Нет;02. Колонки и портативные аудиосистемы
EM63794;Радиоприемник;Нет;02. Колонки и портативные аудиосистемы
AM18326;03. Микрофоны и аудио-аксессуары;Да;05. Аудио
AM24103;Аудио-усилители и адаптеры;Нет;03. Микрофоны и аудио-аксессуары
AM24104;Аудиокабели и переходники;Нет;03. Микрофоны и аудио-аксессуары
AM18325;Микрофон;Нет;03. Микрофоны и аудио-аксессуары
AM24106;Прочие аудио-аксессуары;Нет;03. Микрофоны и аудио-аксессуары
AM19971;04. Автозвук;Да;05. Аудио
AM18144;FM Трансмиттер;Нет;04. Автозвук
AM26713;ISO-Коннектор, разъемы;Нет;04. Автозвук
AM19346;Автомобильная акустическая система;Нет;04. Автозвук
AM18296;Автомобильная магнитола (1DIN);Нет;04. Автозвук
EM01197;Автомобильная магнитола (2DIN);Нет;04. Автозвук
AM26714;Автомобильный сабвуфер;Нет;04. Автозвук
AM26716;Автомобильный усилитель;Нет;04. Автозвук
AM26718;Конденсатор;Нет;04. Автозвук
AM26721;Установочный комплект;Нет;04. Автозвук
AM26722;Шумо и виброизоляция;Нет;04. Автозвук
EM05757;06. Аксессуары БТ, посуда;Да;01. Аксессуары (Чехлы и сумки, Манипуляторы, Аудиотехника)
AM28879;Аксессуары для КБТ;Да;06. Аксессуары БТ, посуда
AM30947;Аксессуары для вытяжек;Нет;Аксессуары для КБТ
EM04721;Аксессуары для кондиционеров ;Нет;Аксессуары для КБТ
AM19789;Аксессуары для плит и варочных поверхностей;Нет;Аксессуары для КБТ
AM23955;Аксессуары для стиральных и посудомоечных машин;Нет;Аксессуары для КБТ
AM23953;Аксессуары для холодильников;Нет;Аксессуары для КБТ
AM30960;Средства для прочей техники КБТ и уходу за домом;Нет;Аксессуары для КБТ
AM19787;Аксессуары для МБТ;Да;06. Аксессуары БТ, посуда
AM26920;Аксессуары для аквафильтров;Нет;Аксессуары для МБТ
AM20752;Аксессуары для бритв и эпиляторов;Нет;Аксессуары для МБТ
